Market,R1,R2,R3,R4
0.002332,-0.00157,-0.01087,-0.01632,0
0.005284,-0.00472,0,0.004739,-0.00885
0.002527,0.003165,0.032967,0.004717,-0.00893
0.002718,0.007886,0.021277,0.016432,0.015015
-0.00079,-0.00626,-0.00625,-0.01155,0.005917
-0.01192,-0.02835,-0.04211,-0.00467,-0.01471
-0.01301,-0.03079,-0.04945,-0.00939,-0.02985
0.004106,0.01505,0.063584,0.028436,0.030769
0.002803,-0.00824,0,0,0
0.001912,0.013289,-0.03804,0.013825,0.00597
0.006396,0.013115,0.011299,0.002273,-0.00594
-0.00069,-0.01942,-0.03911,-0.0068,-0.00597
0.0045,0.0033,0.023256,0.002283,0.006006
-0.00416,-0.00165,-0.01705,-0.00683,0
0.00358,0,0.017341,0.013761,0.01791
-0.00516,-0.0033,-0.02841,-0.0181,-0.00938
-0.00385,-0.00661,0,0.002304,0.002985
-0.00286,-0.00333,0.011696,-0.0069,-0.01191
-0.01056,0.001669,-0.01156,-0.01389,-0.00602
0.005356,0.008333,0.011696,0.018779,0.033333
0.004767,-0.00165,0,0.009217,0.002933
0.00239,0.001656,0,-0.00228,-0.00292
-0.00205,0.004959,0,0.006865,0.02346
-0.00059,0.006579,0.00578,0.011364,0.020057
0.00342,-0.00163,0,0.004494,-0.01405
0.00241,0.016367,0.011494,-0.00224,0.005698
0.00403,0,0,0.008969,0.011331
0.002938,0.020934,0.028409,-0.00889,0.014006
0.000609,-0.01893,-0.01658,0,-0.00553
-0.00017,0.008039,-0.00562,-0.00224,0.016667
-0.00412,-0.00319,-0.01695,-0.00225,-0.01366
-0.0005,-0.008,0.017241,0,0.00277
0.001842,0.012903,0.016949,0,-0.00553
-0.00622,-0.00796,-0.02222,0,0.002778
-0.00198,-0.00963,0.011364,0.002252,-0.00277
0.002365,0.006483,0.016854,0.017978,0.033333
0.006321,0.030596,0.01105,0.019868,0.010753
-0.00061,0.009375,0.021858,0.008658,0
-0.00243,-0.01238,-0.02139,-0.00858,-0.00266
0.003084,-0.0047,-0.02732,-0.00866,-0.01067
0.001668,0.004724,0.022472,0.002183,0.010782
0.005854,0.004702,0.027473,-0.00872,-0.00267
0.00245,0.01248,0.010695,0.006593,0.005348
0.001252,-0.00154,-0.01058,0,-0.0133
-0.00213,-0.00154,-0.00535,-0.00437,0.008086
-0.00063,-0.01051,-0.01075,0,-0.00802
